codigo_aeronave,codigo_ocorrencia,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao,orig_latitude,orig_longitude,dest_latitude,dest_longitude
10411,38423,PTJLN,3992,AVIÃO,CESSNA AIRCRAFT,182P,PISTÃO,1.0,1338.0,4.0,0.0,BRASIL,TPP,PARTICULAR,SIIM,SIIM,SUBIDA,PRIVADA,SUBSTANCIAL,,2016-07-30,63.388725550000004,10.542989268081431,63.388725550000004,10.542989268081431
10412,38425,PRINR,3992,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,PISTÃO,1.0,1134.0,4.0,2006.0,BRASIL,TPP,PARTICULAR,SJUY,SDRJ,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-22.488486950000002,-41.9352756553553,-22.971111,-43.2164547
10436,38577,PRMYA,4834,AVIÃO,AIRBUS INDUSTRIE,A320-214,JATO,2.0,77000.0,184.0,2008.0,BRASIL,TPR,REGULAR,SBJP,SBGR,CRUZEIRO,REGULAR,NENHUM,,2016-07-30,-7.148930699999999,-34.95030583440195,-23.43779495,-46.481320528800595
10437,38578,PRJMM,3992,HELICÓPTERO,EUROCOPTER FRANCE,EC 120 B,TURBOEIXO,1.0,1715.0,5.0,2009.0,BRASIL,TPP,PARTICULAR,SDKD,SBGR,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,,2016-07-30,-23.61858335,-46.70311191883344,-23.43779495,-46.481320528800595
10438,38579,PRDOQ,3992,AVIÃO,STEMME,S10-VT,PISTÃO,1.0,850.0,2.0,1998.0,BRASIL,TPP,PARTICULAR,SJHN,SSKT,POUSO,PRIVADA,LEVE,,2016-07-30,,,-27.612550249999998,-48.67389819837889
10447,38638,PTRYC,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,PISTÃO,1.0,1315.0,4.0,0.0,BRASIL,TPP,PARTICULAR,SBSJ,SBSR,CRUZEIRO,PRIVADA,DESTRUÍDA,3.0,2016-07-30,-23.2286857,-45.86031987273927,-20.81731545,-49.408467700474546
10449,38641,PTYZZ,1072,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,622.0,2.0,1998.0,BRASIL,PRI,INSTRUÇÃO,SBMT,SBMT,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.50990145,-46.63844142922537,-23.50990145,-46.63844142922537
10450,38643,PRHAZ,3992,AVIÃO,BEECH AIRCRAFT,G36,PISTÃO,1.0,1656.0,6.0,2008.0,BRASIL,TPP,PARTICULAR,SBRP,SDLK,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-21.13330235,-47.77468310119474,25.1229541,76.450412
10451,38644,PTDZR,4783,AVIÃO,PIPER AIRCRAFT,PA-28-140,PISTÃO,1.0,975.0,4.0,1972.0,BRASIL,PRI,INSTRUÇÃO,SBPR,SBBH,ESTACIONAMENTO,INSTRUÇÃO,LEVE,,2016-07-30,-19.90912355,-43.98920499954244,-19.8491253,-43.9645521
10453,38646,PRETT,3992,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2.0,2073.0,6.0,1976.0,BRASIL,TPP,PARTICULAR,SSBL,SDAM,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-26.83023,-49.093869574799726,-22.860043249999997,-47.10842181566554
10457,38657,PTNBV,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-710,PISTÃO,1.0,1361.0,4.0,1975.0,BRASIL,TPP,PARTICULAR,SSCN,SSTL,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,-29.37008055,-50.831754567346096,-6.78194485,39.25943065111903
10463,38677,PTVMY,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PISTÃO,1.0,1633.0,7.0,1991.0,BRASIL,TPP,PARTICULAR,SIXM,SBEK,CIRCUITO DE TRÁFEGO,PRIVADA,SUBSTANCIAL,,2016-07-30,,,,
10464,38815,PREJP,1821,AVIÃO,CESSNA AIRCRAFT,152,PISTÃO,1.0,757.0,2.0,1978.0,BRASIL,PRI,INSTRUÇÃO,SBJD,SBJD,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.18119415,-46.942913735809945,-23.18119415,-46.942913735809945
10469,38835,PTNKJ,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202.0,4.0,1977.0,BRASIL,TPP,PARTICULAR,SWUZ,SBGO,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,-16.258876,-47.9682509,-16.634240650000002,-49.2155620047253
10470,51055,PTYDW,2189,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,PISTÃO,1.0,621.0,2.0,1998.0,BRASIL,PRI,INSTRUÇÃO,SNPA,SJLY,NAVEGAÇÃO A BAIXA ALTURA,INSTRUÇÃO,LEVE,,2016-07-30,49.4323676,1.100777375319817,-20.047222499999997,-43.96234872295648
10472,38839,PRKKR,3992,AVIÃO,CESSNA AIRCRAFT,T210R,PISTÃO,1.0,1860.0,6.0,1985.0,BRASIL,TPP,PARTICULAR,SBBH,SBJD,CRUZEIRO,PRIVADA,SUBSTANCIAL,,2016-07-30,-19.8491253,-43.9645521,-23.18119415,-46.942913735809945
10481,38875,PRNAT,3992,AVIÃO,CIRRUS DESIGN,SR22,PISTÃO,1.0,1542.0,4.0,2005.0,BRASIL,TPP,PARTICULAR,SBJD,SBJD,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,-23.18119415,-46.942913735809945,-23.18119415,-46.942913735809945
10482,49119,PTWQV,4269,AVIÃO,AIR TRACTOR,AT-402A,TURBOÉLICE,1.0,3175.0,1.0,1999.0,BRASIL,SAE-AG,AGRÍCOLA,SWTS,SDVI,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,,2016-07-30,-14.66279795,-57.44358442390656,,
10488,38959,PTWSI,3992,AVIÃO,RAYTHEON AIRCRAFT,B300,TURBOÉLICE,2.0,6804.0,11.0,1997.0,BRASIL,TPP,PARTICULAR,SBCY,SWSG,SUBIDA,PRIVADA,LEVE,,2016-07-30,-15.651851449999999,-56.11979295012485,48.7615927,9.269908957392996
10493,39115,PTNQX,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711A,PISTÃO,1.0,1202.0,4.0,1979.0,BRASIL,TPP,PARTICULAR,SWUZ,SNTY,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,-16.258876,-47.9682509,32.8632367,51.5337438
10505,46565,PRAPM,4155,AVIÃO,AEROMOT,AMT-200SO,PISTÃO,1.0,1050.0,2.0,2007.0,BRASIL,ADE,ADMINISTRAÇÃO DIRETA,SNTF,SNTF,POUSO,POLICIAL,LEVE,,2016-07-30,-17.52360045,-39.67223125277019,-17.52360045,-39.67223125277019
10507,39275,PTYRE,3992,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 BA,TURBOEIXO,1.0,2100.0,6.0,1994.0,BRASIL,TPP,PARTICULAR,SBMT,SBMT,CRUZEIRO,PRIVADA,DESTRUÍDA,1.0,2016-07-30,-23.50990145,-46.63844142922537,-23.50990145,-46.63844142922537
10513,39319,PRUGO,3992,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2.0,2073.0,6.0,1981.0,BRASIL,TPP,PARTICULAR,SDCO,SWRT,SUBIDA,PRIVADA,DESTRUÍDA,2.0,2016-07-30,-23.4777055,-47.49014641930361,36.3804888,52.6452045
10524,39385,PTNIJ,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202.0,4.0,1976.0,BRASIL,TPP,PARTICULAR,SBCN,SBBR,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-17.7247899,-48.6081742294032,-15.87174755,-47.91172169662855
10528,39487,PRSAM,3992,AVIÃO,BEECH AIRCRAFT,F33A,PISTÃO,1.0,1588.0,4.0,1994.0,BRASIL,TPP,PARTICULAR,SBGO,SBPJ,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-16.634240650000002,-49.2155620047253,-10.2918921,-48.3591818921385
10530,39527,PTURT,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,1.0,1800.0,1.0,2004.0,BRASIL,SAE-AG,AGRÍCOLA,SDYF,SDYF,NAVEGAÇÃO A BAIXA ALTURA,AGRÍCOLA,DESTRUÍDA,,2016-07-30,31.2746841,61.5600728,31.2746841,61.5600728
10534,39709,PTOLF,3992,AVIÃO,PIPER AIRCRAFT,PA-31T1,TURBOÉLICE,2.0,3946.0,7.0,1980.0,BRASIL,TPP,PARTICULAR,SBNF,SBBI,CORRIDA APÓS POUSO,PRIVADA,NENHUM,,2016-07-30,-26.87842885,-48.649354164934465,-25.4048327,-49.231650952179585
10559,39887,PTNYV,3597,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,PISTÃO,1.0,1157.0,4.0,1982.0,BRASIL,PRI,INSTRUÇÃO,SBPR,SBPR,SUBIDA,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-19.90912355,-43.98920499954244,-19.90912355,-43.98920499954244
10559,45929,PTNYV,3597,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,PISTÃO,1.0,1157.0,4.0,1982.0,BRASIL,PRI,INSTRUÇÃO,SBBH,SBPR,POUSO,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-19.8491253,-43.9645521,-19.90912355,-43.98920499954244
10586,49123,PTFLF,322,AVIÃO,CESSNA AIRCRAFT,152,PISTÃO,1.0,757.0,2.0,1977.0,BRASIL,PRI,INSTRUÇÃO,SBBI,SSBL,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-25.4048327,-49.231650952179585,-26.83023,-49.093869574799726
10588,39992,PRUUT,496,AVIÃO,EMBRAER,EMB-500,JATO,2.0,4750.0,6.0,2009.0,BRASIL,TPR,REGULAR,SBBR,SBMT,CORRIDA APÓS POUSO,REGULAR,LEVE,,2016-07-30,-15.87174755,-47.91172169662855,-23.50990145,-46.63844142922537
10595,40087,PTAKS,3992,AVIÃO,CESSNA AIRCRAFT,210H,PISTÃO,1.0,1542.0,4.0,1969.0,BRASIL,TPP,PARTICULAR,SWNS,SWLZ,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,-16.228539400000003,-48.960982233490036,32.329981,34.8527499
10596,40088,PTJTM,2358,AVIÃO,BEECH AIRCRAFT,E55,PISTÃO,2.0,2404.0,6.0,1974.0,BRASIL,ADE,ADMINISTRAÇÃO DIRETA,SBBV,SJMV,POUSO,NÃO REGULAR,SUBSTANCIAL,,2016-07-30,2.8467389,-60.69088998008712,-8.98039365,13.149596201164183
10600,40147,PTWOO,3992,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PISTÃO,2.0,2155.0,6.0,1997.0,BRASIL,TPP,PARTICULAR,SBBI,SSUV,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-25.4048327,-49.231650952179585,-26.23353875,-51.06653433238267
10605,49797,PTJCZ,3992,AVIÃO,CESSNA AIRCRAFT,310Q,PISTÃO,2.0,2404.0,6.0,1973.0,BRASIL,TPP,PARTICULAR,SNMJ,SNMJ,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-13.3850808,-40.46456723788134,-13.3850808,-40.46456723788134
10670,43775,PRBOR,3992,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,2.0,2449.0,6.0,1981.0,BRASIL,TPP,PARTICULAR,SBLO,SBLO,OUTRA FASE,PRIVADA,DESTRUÍDA,3.0,2016-07-30,-23.331887549999998,-51.1346212481326,-23.331887549999998,-51.1346212481326
10696,40369,PTOBL,2725,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2.0,2073.0,6.0,1976.0,BRASIL,TPX,TÁXI AÉREO,SBPA,SBSM,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,-29.995268449999998,-51.16639779619565,-29.71297955,-53.68895977371655
10706,43702,PRRMI,4368,AVIÃO,CESSNA AIRCRAFT,208B,TURBOÉLICE,1.0,3969.0,11.0,2009.0,BRASIL,TPX,TÁXI AÉREO,SBRB,SBTK,APROXIMAÇÃO FINAL,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,-9.86366315,-67.88788220300299,31.0944923,56.4387019
10730,40447,PRKIM,3992,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,PISTÃO,1.0,1134.0,4.0,2005.0,BRASIL,TPP,PARTICULAR,SDMS,SBJR,CRUZEIRO,PRIVADA,DESTRUÍDA,,2016-07-30,-23.015610199999998,-44.28033675535354,-22.98641695,-43.371449464398225
10779,40573,PTCHQ,3992,AVIÃO,CESSNA AIRCRAFT,172F,PISTÃO,1.0,1043.0,4.0,1965.0,BRASIL,TPP,PARTICULAR,SNAR,SBIL,CRUZEIRO,PRIVADA,LEVE,,2016-07-30,13.0,33.5,-14.81669225,-39.03309799706171
10906,53118,PTYEJ,3800,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,621.0,2.0,1997.0,BRASIL,PRI,INSTRUÇÃO,SBGR,SBCA,DECOLAGEM VERTICAL,PRIVADA,SUBSTANCIAL,,2016-07-30,-23.43779495,-46.481320528800595,-25.000130749999997,-53.501257778932384
10916,46583,PTMFW,4883,AVIÃO,PIPER AIRCRAFT,PA-31T2,TURBOÉLICE,2.0,4297.0,7.0,1983.0,BRASIL,TPX,TÁXI AÉREO,SSDO,SBBI,APROXIMAÇÃO FINAL,TÁXI AÉREO,DESTRUÍDA,4.0,2016-07-30,-16.7535966,-39.31605367550041,-25.4048327,-49.231650952179585
10917,50333,PREJW,1821,AVIÃO,CESSNA AIRCRAFT,152,PISTÃO,1.0,757.0,2.0,1979.0,BRASIL,PRI,INSTRUÇÃO,SBJD,SBJD,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.18119415,-46.942913735809945,-23.18119415,-46.942913735809945
10931,40933,PTJQE,3992,AVIÃO,PIPER AIRCRAFT,PA-28R-200,PISTÃO,1.0,1179.0,4.0,1974.0,BRASIL,TPP,PARTICULAR,SWKC,SWKC,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,,2016-07-30,-16.04361205,-57.62991783318188,-16.04361205,-57.62991783318188
11074,50322,PTICT,4151,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,2.0,2449.0,6.0,1971.0,BRASIL,ADD,ADMINISTRAÇÃO DIRETA,SBPJ,SBSL,POUSO,POLICIAL,SUBSTANCIAL,,2016-07-30,-10.2918921,-48.3591818921385,-2.58899115,-44.23940764493366
11139,41751,PTBOM,160,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C-1,PISTÃO,1.0,660.0,2.0,1961.0,BRASIL,PRI,INSTRUÇÃO,SBBP,SNEJ,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,52.161599,4.4966571,,
11141,41829,PPEPD,2344,AVIÃO,BEECH AIRCRAFT,300,TURBOÉLICE,2.0,6350.0,10.0,1986.0,BRASIL,ADE,ADMINISTRAÇÃO DIRETA,SBJD,SDCO,DECOLAGEM,NÃO REGULAR,LEVE,,2016-07-30,-23.18119415,-46.942913735809945,-23.4777055,-47.49014641930361
11172,41916,PTNBE,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202.0,4.0,1975.0,BRASIL,TPP,PARTICULAR,SWNV,SWLV,CRUZEIRO,PRIVADA,DESTRUÍDA,2.0,2016-07-30,-16.626151200000002,-49.34685663335068,-15.84980135,-56.08614356248529
11197,52231,PTRSN,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PISTÃO,2.0,2155.0,6.0,1984.0,BRASIL,TPP,PARTICULAR,SWZQ,SBGO,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,,,-16.634240650000002,-49.2155620047253
11214,42001,PTCDQ,3992,AVIÃO,CESSNA AIRCRAFT,180G,PISTÃO,1.0,1270.0,4.0,1964.0,BRASIL,TPP,PARTICULAR,SDOI,SDOI,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,,,,
11239,42071,PRJOS,2176,AVIÃO,CESSNA AIRCRAFT,208B,TURBOÉLICE,1.0,3969.0,2.0,1987.0,BRASIL,TPX,TÁXI AÉREO,SBBE,SBMQ,CRUZEIRO,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,-1.3798578,-48.47964610194296,0.0505785,-51.07059996039651
11243,50334,PRLVB,3992,AVIÃO,CIRRUS DESIGN,SR22,PISTÃO,1.0,1542.0,4.0,2008.0,BRASIL,TPP,PARTICULAR,SSBL,SBBI,CRUZEIRO,PRIVADA,SUBSTANCIAL,,2016-07-30,-26.83023,-49.093869574799726,-25.4048327,-49.231650952179585
11259,42250,PTLXO,3868,AVIÃO,LEARJET,55C,JATO,2.0,9752.0,9.0,1988.0,BRASIL,TPX,TÁXI AÉREO,SBRJ,SBGL,SUBIDA,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,-22.91044995,-43.16419567816759,-22.811305750000002,-43.25747587604714
11267,42287,PTRMX,4128,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2.0,2073.0,6.0,1982.0,BRASIL,TPX,TÁXI AÉREO,SNCJ,SBSN,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,,,-2.42713895,-54.80445559036728
11279,42386,PRPSJ,3994,AVIÃO,EMBRAER,EMB-145LU,JATO,2.0,21990.0,54.0,2000.0,BRASIL,TPR,REGULAR,SBGR,SBQV,RETA FINAL,REGULAR,DESTRUÍDA,,2016-07-30,-23.43779495,-46.481320528800595,-14.86450825,-40.862788613186495
11322,42565,PTBFA,279,AVIÃO,PIPER AIRCRAFT,PA-23-160,PISTÃO,2.0,1587.0,5.0,1959.0,BRASIL,PRI,INSTRUÇÃO,SBSJ,SBGO,DESCIDA,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.2286857,-45.86031987273927,-16.634240650000002,-49.2155620047253
11337,45576,PRGTN,5106,AVIÃO,BOEING COMPANY,737-8EH,JATO,2.0,70533.0,197.0,2007.0,BRASIL,TPR,REGULAR,SBSP,SBPA,POUSO,REGULAR,SUBSTANCIAL,,2016-07-30,-23.6256872,-46.6612303,-29.995268449999998,-51.16639779619565
11387,45487,PTLOU,4316,AVIÃO,BEECH AIRCRAFT,95-B55,PISTÃO,2.0,2268.0,6.0,1982.0,BRASIL,TPX,TÁXI AÉREO,SBJC,SNBW,DECOLAGEM,TÁXI AÉREO,DESTRUÍDA,4.0,2016-07-30,-1.4158724999999999,-48.45973894946931,27.5017124,30.8046448
11398,46152,PTMAB,965,AVIÃO,EMBRAER,EMB-121A1,TURBOÉLICE,2.0,5670.0,7.0,1979.0,BRASIL,TPX,TÁXI AÉREO,SBBH,SDAG,NAVEGAÇÃO A BAIXA ALTURA,TÁXI AÉREO,DESTRUÍDA,3.0,2016-07-30,-19.8491253,-43.9645521,-22.9743871,-44.30468380526719
11420,49878,PTFCA,322,AVIÃO,CESSNA AIRCRAFT,152,PISTÃO,1.0,758.0,2.0,1979.0,BRASIL,PRI,INSTRUÇÃO,SBBI,SBBI,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-25.4048327,-49.231650952179585,-25.4048327,-49.231650952179585
11441,42919,PRJTA,3140,AVIÃO,CESSNA AIRCRAFT,T207A,PISTÃO,1.0,1724.0,7.0,1978.0,BRASIL,TPX,TÁXI AÉREO,SIRJ,SJGE,CRUZEIRO,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,,,-6.0837127,-56.2922645
11457,42997,PTEGM,4857,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,PISTÃO,1.0,1633.0,7.0,1976.0,BRASIL,TPX,TÁXI AÉREO,SBJC,SBMA,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,-1.4158724999999999,-48.45973894946931,-5.3684215,-49.136182375369714
11461,43003,PTAXX,3992,AVIÃO,CESSNA AIRCRAFT,172,PISTÃO,1.0,998.0,4.0,1957.0,BRASIL,TPP,PARTICULAR,SSJI,SSJI,NAVEGAÇÃO A BAIXA ALTURA,PRIVADA,SUBSTANCIAL,,2016-07-30,,,,
11475,53152,PTYPB,3800,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,621.0,2.0,1995.0,BRASIL,PRI,INSTRUÇÃO,SBJR,SBJR,MANOBRA,INSTRUÇÃO,LEVE,,2016-07-30,-22.98641695,-43.371449464398225,-22.98641695,-43.371449464398225
11499,52942,PRRAU,3992,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,2.0,2449.0,6.0,1976.0,BRASIL,TPP,PARTICULAR,SWBR,SWFN,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,31.712078,35.206313,-3.0728082,-60.021215104009556
11500,43089,PTNDR,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202.0,4.0,1976.0,BRASIL,TPP,PARTICULAR,SNXT,SBUL,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,,,-18.882273650000002,-48.22479831961242
11522,43256,PRHSF,3992,AVIÃO,CESSNA AIRCRAFT,T182T,PISTÃO,1.0,1406.0,4.0,2001.0,BRASIL,TPP,PARTICULAR,SNTS,SBRF,APROXIMAÇÃO FINAL,PRIVADA,LEVE,,2016-07-30,-7.0388218,-37.2519353,-8.1256775,-34.92271835508188
11537,52596,PRGOR,5106,AVIÃO,BOEING COMPANY,737-76N,JATO,2.0,61461.0,153.0,2002.0,BRASIL,TPR,REGULAR,SBUL,SBCF,DESCIDA,REGULAR,NENHUM,,2016-07-30,-18.882273650000002,-48.22479831961242,-19.63339785,-43.96836942393943
11561,43321,PTUFG,774,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800.0,1.0,1980.0,BRASIL,SAE,ESPECIALIZADA,SSPO,SSPO,ESPECIALIZADA,ESPECIALIZADA,SUBSTANCIAL,,2016-07-30,16.971186799999998,-96.7056401088854,16.971186799999998,-96.7056401088854
11644,43454,PTWUG,3992,AVIÃO,BEECH AIRCRAFT,C90A,TURBOÉLICE,2.0,4377.0,8.0,0.0,BRASIL,TPP,PARTICULAR,SBUR,SBLO,CIRCUITO DE TRÁFEGO,PRIVADA,DESTRUÍDA,,2016-07-30,,,-23.331887549999998,-51.1346212481326
11645,43455,PTLEU,3992,AVIÃO,BEECH AIRCRAFT,95-B55,PISTÃO,2.0,2268.0,6.0,1973.0,BRASIL,TPP,PARTICULAR,SBVT,SBBR,CRUZEIRO,PRIVADA,DESTRUÍDA,4.0,2016-07-30,41.1435278,-8.6173333,-15.87174755,-47.91172169662855
11761,45554,PRPSK,3994,AVIÃO,EMBRAER,EMB-145LR,JATO,2.0,21990.0,54.0,2001.0,BRASIL,TPR,REGULAR,SBGR,SBUL,POUSO,REGULAR,LEVE,,2016-07-30,-23.43779495,-46.481320528800595,-18.882273650000002,-48.22479831961242
11797,44977,PRSNM,3992,AVIÃO,CESSNA AIRCRAFT,T206H,PISTÃO,1.0,1633.0,6.0,2010.0,BRASIL,TPP,PARTICULAR,SBRJ,SBJR,CORRIDA APÓS POUSO,PRIVADA,LEVE,,2016-07-30,-22.91044995,-43.16419567816759,-22.98641695,-43.371449464398225
11865,43776,PTNUT,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,PISTÃO,1.0,1157.0,4.0,1979.0,BRASIL,TPP,PARTICULAR,SWRD,SWDC,CORRIDA APÓS POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,31.9373579,35.2008652,,
11866,43778,PPFOX,1732,AVIÃO,CESSNA AIRCRAFT,150M,PISTÃO,1.0,726.0,2.0,1977.0,BRASIL,PRI,INSTRUÇÃO,SSAY,SSAY,ARREMETIDA NO AR,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,17.629881,95.789848,17.629881,95.789848
11884,43814,PRRPE,3992,AVIÃO,CIRRUS DESIGN,SR22,PISTÃO,1.0,1542.0,4.0,2007.0,BRASIL,TPP,PARTICULAR,SBJD,SDCO,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,-23.18119415,-46.942913735809945,-23.4777055,-47.49014641930361
11913,46048,PRJHM,2176,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,2.0,2449.0,6.0,1973.0,BRASIL,TPX,TÁXI AÉREO,SBBH,SBGR,CORRIDA APÓS POUSO,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,-19.8491253,-43.9645521,-23.43779495,-46.481320528800595
11913,43870,PRJHM,2176,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,2.0,2449.0,6.0,1973.0,BRASIL,TPX,TÁXI AÉREO,SBGR,SBBR,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,,2016-07-30,-23.43779495,-46.481320528800595,-15.87174755,-47.91172169662855
11914,52840,PTNYJ,283,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,PISTÃO,1.0,1157.0,4.0,1980.0,BRASIL,PRI,INSTRUÇÃO,SBMT,SBMT,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,,2016-07-30,-23.50990145,-46.63844142922537,-23.50990145,-46.63844142922537
11941,43900,PTPSC,3992,AVIÃO,PIPER AIRCRAFT,PA-32R-301T,PISTÃO,1.0,1633.0,7.0,1999.0,BRASIL,TPP,PARTICULAR,SJCY,SWOK,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-15.681573400000001,-55.95523379555705,50.97425885,3.021142660702529
11946,43906,PPABX,3992,AVIÃO,CESSNA AIRCRAFT,152,PISTÃO,1.0,757.0,2.0,1978.0,BRASIL,TPP,PARTICULAR,SJCY,SWLV,DECOLAGEM,PRIVADA,DESTRUÍDA,,2016-07-30,-15.681573400000001,-55.95523379555705,-15.84980135,-56.08614356248529
11994,43988,PTITI,3992,AVIÃO,PIPER AIRCRAFT,PA-28R-200,PISTÃO,1.0,1202.0,4.0,1973.0,BRASIL,TPP,PARTICULAR,SNNU,SBVG,CRUZEIRO,PRIVADA,,,2016-07-30,34.20915455,108.9504197366293,-21.59120195,-45.47401856941612
11998,43994,PRABM,3992,AVIÃO,CESSNA AIRCRAFT,210L,PISTÃO,1.0,1724.0,0.0,0.0,BRASIL,TPP,PARTICULAR,SWNV,SWLC,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,-16.626151200000002,-49.34685663335068,-17.834426,-50.9559705443272
11999,43998,PRLCJ,3259,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,TURBOEIXO,2.0,5307.0,14.0,2004.0,BRASIL,TPX,TÁXI AÉREO,SBVT,9PSW,SUBIDA,TÁXI AÉREO,LEVE,,2016-07-30,41.1435278,-8.6173333,,
12002,44003,PRELO,3992,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,TURBOEIXO,1.0,2250.0,6.0,2009.0,BRASIL,TPP,PARTICULAR,SWKT,SWCD,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,,2016-07-30,31.7833155,35.2152412,44.3661898,-69.7951899945775
