codigo_aeronave,codigo_ocorrencia,matricula,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_registro,categoria_aviacao,origem_voo,destino_voo,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,dia_extracao,orig_latitude,orig_longitude,dest_latitude,dest_longitude
9576,33835,PTTAW,4903,AVIÃO,EMBRAER,EMB-110P1,TURBOÉLICE,2.0,5670.0,20.0,1980.0,BRASIL,TPX,TÁXI AÉREO,SBKP,SBBI,POUSO,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,-23.00605625,-47.1418432690333,-25.4048327,-49.231650952179585
9576,51991,PTTAW,3992,AVIÃO,EMBRAER,EMB-110P1,TURBOÉLICE,2.0,5670.0,20.0,1980.0,BRASIL,TPP,PARTICULAR,SSFE,SBBI,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,,,-25.4048327,-49.231650952179585
9582,33918,PTNNF,4966,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202.0,4.0,1977.0,BRASIL,TPX,TÁXI AÉREO,SNGG,SBTE,DECOLAGEM,TÁXI AÉREO,LEVE,,2016-07-30,34.1730075,65.7499203,-5.0598744,-42.823510202633514
9609,53120,PTJAV,1036,AVIÃO,CESSNA AIRCRAFT,210L,PISTÃO,1.0,1723.0,6.0,1973.0,BRASIL,TPX,TÁXI AÉREO,SNXW,SBJC,DECOLAGEM,TÁXI AÉREO,SUBSTANCIAL,,2016-07-30,47.66348255,-117.42184670875662,-1.4158724999999999,-48.45973894946931
9614,34076,PPGEJ,185,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770.0,3.0,1991.0,BRASIL,PRI,INSTRUÇÃO,SDFD,SDFD,POUSO,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-20.27687985,-50.21550201557881,-20.27687985,-50.21550201557881
9617,34079,PTPAC,3992,AVIÃO,RAYTHEON AIRCRAFT,C90A,TURBOÉLICE,2.0,4581.0,8.0,1999.0,BRASIL,TPP,PARTICULAR,SBSP,SBSP,DECOLAGEM,PRIVADA,SUBSTANCIAL,,2016-07-30,-23.6256872,-46.6612303,-23.6256872,-46.6612303
9618,34080,PTIBX,3992,AVIÃO,PIPER AIRCRAFT,PA-28R-200,PISTÃO,1.0,1179.0,4.0,1972.0,BRASIL,TPP,PARTICULAR,SSAY,SSOQ,DESCIDA,PRIVADA,SUBSTANCIAL,,2016-07-30,17.629881,95.789848,,
9620,34082,PTWJQ,3992,AVIÃO,BEECH AIRCRAFT,F33A,PISTÃO,1.0,1542.0,5.0,1989.0,BRASIL,TPP,PARTICULAR,SBLP,SNBO,CRUZEIRO,PRIVADA,LEVE,,2016-07-30,-13.261664750000001,-43.40915433718382,46.46062875,5.149386922941176
9623,34096,PTOOB,3992,AVIÃO,CESSNA AIRCRAFT,172N,PISTÃO,1.0,1043.0,4.0,1980.0,BRASIL,TPP,PARTICULAR,SNQV,SBPR,POUSO,PRIVADA,SUBSTANCIAL,,2016-07-30,-18.750413950000002,-44.45963011046865,-19.90912355,-43.98920499954244
9633,51027,PROAL,3867,AVIÃO,FOKKER,F28MK0100,JATO,2.0,44450.0,107.0,1993.0,BRASIL,TPR,REGULAR,SBPA,SBGR,APROXIMAÇÃO FINAL,REGULAR,NENHUM,,2016-07-30,-29.995268449999998,-51.16639779619565,-23.43779495,-46.481320528800595
9644,34340,PTYLO,2331,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,621.0,2.0,1995.0,BRASIL,PRI,INSTRUÇÃO,SBMT,SSUO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.50990145,-46.63844142922537,-23.4090952,-46.3307712432062
9652,34415,PTDON,3992,AVIÃO,PIPER AIRCRAFT,PA-24-260,PISTÃO,1.0,1452.0,6.0,1970.0,BRASIL,TPP,PARTICULAR,SDTB,SSZW,CIRCUITO DE TRÁFEGO,PRIVADA,SUBSTANCIAL,2.0,2016-07-30,-23.1283131,-46.5746844,,
9654,34435,PPKCA,303,AVIÃO,AEROMOT,AMT-100,PISTÃO,1.0,800.0,2.0,1986.0,BRASIL,PRI,INSTRUÇÃO,SBSJ,SBSJ,POUSO,INSTRUÇÃO,SUBSTANCIAL,,2016-07-30,-23.2286857,-45.86031987273927,-23.2286857,-45.86031987273927
